Time: 0h 0m, Epoch [1/20],Loss: 0.5586
Time: 0h 1m, Epoch [1/20],Loss: 0.3036
Time: 0h 6m, Epoch [1/20],Loss: 0.2740
Time: 0h 11m, Epoch [1/20],Loss: 0.2696
Time: 0h 13m, Epoch [1/20],Loss: 0.2993
Time: 0h 15m, Epoch [1/20],Loss: 0.2178
Time: 0h 17m, Epoch [1/20],Loss: 0.2507
Time: 0h 18m, Epoch [1/20],Loss: 0.2907
Time: 0h 20m, Epoch [1/20],Loss: 0.2651
Time: 0h 22m, Epoch [1/20],Loss: 0.3030
Time: 0h 24m, Epoch [1/20],Loss: 0.2886
Time: 0h 26m, Epoch [1/20],Loss: 0.2610
Time: 0h 27m, Epoch [1/20],Loss: 0.3161
Time: 0h 29m, Epoch [1/20],Loss: 0.2717
Time: 0h 31m, Epoch [1/20],Loss: 0.2890
Time: 0h 33m, Epoch [1/20],Loss: 0.2309
Time: 0h 35m, Epoch [1/20],Loss: 0.2625
Time: 0h 36m, Epoch [1/20],Loss: 0.2635
Time: 0h 38m, Epoch [1/20],Loss: 0.2924
Time: 0h 40m, Epoch [1/20],Loss: 0.2529
Time: 0h 42m, Epoch [1/20],Loss: 0.2714
Time: 0h 43m, Epoch [1/20],Loss: 0.2717
Time: 0h 45m, Epoch [1/20],Loss: 0.2566
Time: 0h 47m, Epoch [1/20],Loss: 0.2698
Time: 0h 49m, Epoch [1/20],Loss: 0.2514
Time: 0h 50m, Epoch [1/20],Loss: 0.2532
Test: Epoch [1/20], Loss: 0.2730
Time: 0h 54m, Epoch [2/20],Loss: 0.2797
Time: 0h 56m, Epoch [2/20],Loss: 0.2762
Time: 0h 58m, Epoch [2/20],Loss: 0.2543
Time: 1h 0m, Epoch [2/20],Loss: 0.2641
Time: 1h 1m, Epoch [2/20],Loss: 0.2892
Time: 1h 3m, Epoch [2/20],Loss: 0.2390
Time: 1h 5m, Epoch [2/20],Loss: 0.2672
Time: 1h 7m, Epoch [2/20],Loss: 0.2779
Time: 1h 9m, Epoch [2/20],Loss: 0.2399
Time: 1h 10m, Epoch [2/20],Loss: 0.2720
Time: 1h 12m, Epoch [2/20],Loss: 0.2654
Time: 1h 14m, Epoch [2/20],Loss: 0.3107
Time: 1h 16m, Epoch [2/20],Loss: 0.2684
Time: 1h 18m, Epoch [2/20],Loss: 0.2596
Time: 1h 19m, Epoch [2/20],Loss: 0.2561
Time: 1h 21m, Epoch [2/20],Loss: 0.2534
Time: 1h 23m, Epoch [2/20],Loss: 0.2684
Time: 1h 25m, Epoch [2/20],Loss: 0.2860
Time: 1h 26m, Epoch [2/20],Loss: 0.2557
Time: 1h 28m, Epoch [2/20],Loss: 0.2585
Time: 1h 30m, Epoch [2/20],Loss: 0.2961
Time: 1h 32m, Epoch [2/20],Loss: 0.2873
